name,terminology,code,term
diabetes_other,SNOMED-CT,368431000119106,Chronic kidney disease stage 2 due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368441000119102,Chronic kidney disease stage 3 due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,368521000119107,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,368541000119101,Cheiroarthropathy due to diabetes mellitus type 1 (disorder)
diabetes_type1,SNOMED-CT,368551000119104,Dyslipidemia due to type 1 diabetes mellitus (disorder)
diabetes_type1,SNOMED-CT,368561000119102,Hyperosmolarity due to type 1 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
diabetes_type2,SNOMED-CT,368591000119109,Cheiroarthropathy due to diabetes mellitus type 2 (disorder)
diabetes_other,SNOMED-CT,368601000119102,Hyperosmolar coma due to secondary diabetes mellitus
diabetes_other,SNOMED-CT,368711000119106,Mild nonproliferative retinopathy due to secondary diabetes mellitus
diabetes_other,SNOMED-CT,368721000119104,Non-proliferative retinopathy due to secondary diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,368741000119105,Moderate non-proliferative retinopathy due to secondary diabetes mellitus
diabetes_other,SNOMED-CT,371087003,Ulcer of foot due to diabetes mellitus
diabetes_other,SNOMED-CT,38046004,Diffuse glomerulosclerosis of kidney due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,38205001,Diarrhea due to diabetes mellitus (disorder)
diabetes_other,SNOMED-CT,385041000000108,Diabetes mellitus with multiple complications
diabetes_other,SNOMED-CT,385051000000106,Pre-existing diabetes mellitus
diabetes_other,SNOMED-CT,39058009,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
diabetes_other,SNOMED-CT,390715006,Diabetes mellitus autosomal dominant (disorder)
diabetes_other,SNOMED-CT,390716007,Diabetes mellitus autosomal dominant type 2 (disorder)
diabetes_other,SNOMED-CT,390834004,Nonproliferative retinopathy due to diabetes mellitus
diabetes_other,SNOMED-CT,390850007,On examination - no right diabetic retinopathy (situation)
diabetes_other,SNOMED-CT,390853009,On examination - no left diabetic retinopathy (situation)
